operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListRules,/#X-Amz-Target=AWSWAF_20150824.ListRules,POST,,,,,This is **AWS WAF Classic** documentation. For ...,rules,list_rules,select,,,,,
CreateRule,/#X-Amz-Target=AWSWAF_20150824.CreateRule,POST,,,,"ChangeToken,MetricName,Name",This is **AWS WAF Classic** documentation. For ...,rules,create_rule,insert,,,,,
DeleteRule,/#X-Amz-Target=AWSWAF_20150824.DeleteRule,POST,,,,"ChangeToken,RuleId",This is **AWS WAF Classic** documentation. For ...,rules,delete_rule,delete,,,,,
GetRule,/#X-Amz-Target=AWSWAF_20150824.GetRule,POST,,,,RuleId,This is **AWS WAF Classic** documentation. For ...,rules,get_rule,select,,,,,
UpdateRule,/#X-Amz-Target=AWSWAF_20150824.UpdateRule,POST,,,,"ChangeToken,RuleId,Updates",This is **AWS WAF Classic** documentation. For ...,rules,update_rule,update,,,,,
GetSampledRequests,/#X-Amz-Target=AWSWAF_20150824.GetSampledRequests,POST,,,,"MaxItems,RuleId,TimeWindow,WebAclId",This is **AWS WAF Classic** documentation. For ...,sampled_requests,get_sampled_requests,select,,,,,
ListSizeConstraintSets,/#X-Amz-Target=AWSWAF_20150824.ListSizeConstraintSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,size_constraint_sets,list_size_constraint_sets,select,,,,,
CreateSizeConstraintSet,/#X-Amz-Target=AWSWAF_20150824.CreateSizeConstraintSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,size_constraint_sets,create_size_constraint_set,insert,,,,,
DeleteSizeConstraintSet,/#X-Amz-Target=AWSWAF_20150824.DeleteSizeConstraintSet,POST,,,,"ChangeToken,SizeConstraintSetId",This is **AWS WAF Classic** documentation. For ...,size_constraint_sets,delete_size_constraint_set,delete,,,,,
GetSizeConstraintSet,/#X-Amz-Target=AWSWAF_20150824.GetSizeConstraintSet,POST,,,,SizeConstraintSetId,This is **AWS WAF Classic** documentation. For ...,size_constraint_sets,get_size_constraint_set,select,,,,,
UpdateSizeConstraintSet,/#X-Amz-Target=AWSWAF_20150824.UpdateSizeConstraintSet,POST,,,,"ChangeToken,SizeConstraintSetId,Updates",This is **AWS WAF Classic** documentation. For ...,size_constraint_sets,update_size_constraint_set,update,,,,,
ListSqlInjectionMatchSets,/#X-Amz-Target=AWSWAF_20150824.ListSqlInjectionMatchSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,sql_injection_match_sets,list_sql_injection_match_sets,select,,,,,
CreateSqlInjectionMatchSet,/#X-Amz-Target=AWSWAF_20150824.CreateSqlInjectionMatchSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,sql_injection_match_sets,create_sql_injection_match_set,insert,,,,,
DeleteSqlInjectionMatchSet,/#X-Amz-Target=AWSWAF_20150824.DeleteSqlInjectionMatchSet,POST,,,,"ChangeToken,SqlInjectionMatchSetId",This is **AWS WAF Classic** documentation. For ...,sql_injection_match_sets,delete_sql_injection_match_set,delete,,,,,
GetSqlInjectionMatchSet,/#X-Amz-Target=AWSWAF_20150824.GetSqlInjectionMatchSet,POST,,,,SqlInjectionMatchSetId,This is **AWS WAF Classic** documentation. For ...,sql_injection_match_sets,get_sql_injection_match_set,select,,,,,
UpdateSqlInjectionMatchSet,/#X-Amz-Target=AWSWAF_20150824.UpdateSqlInjectionMatchSet,POST,,,,"ChangeToken,SqlInjectionMatchSetId,Updates",This is **AWS WAF Classic** documentation. For ...,sql_injection_match_sets,update_sql_injection_match_set,update,,,,,
ListSubscribedRuleGroups,/#X-Amz-Target=AWSWAF_20150824.ListSubscribedRuleGroups,POST,,,,,This is **AWS WAF Classic** documentation. For ...,subscribed_rule_groups,list_subscribed_rule_groups,select,,,,,
ListTagsForResource,/#X-Amz-Target=AWSWAF_20150824.ListTagsForResource,POST,,,,ResourceARN,This is **AWS WAF Classic** documentation. For ...,tags,list_tags_for_resource,select,,,,,
TagResource,/#X-Amz-Target=AWSWAF_20150824.TagResource,POST,,,,"ResourceARN,Tags",This is **AWS WAF Classic** documentation. For ...,tags,tag_resource,exec,,,,,
UntagResource,/#X-Amz-Target=AWSWAF_20150824.UntagResource,POST,,,,"ResourceARN,TagKeys",This is **AWS WAF Classic** documentation. For ...,tags,untag_resource,exec,,,,,
