operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
ListFleetDeployments,/#X-Amz-Target=GameLift.ListFleetDeployments,POST,,,,FleetId,**This API works with the following fleet types...,fleet_deployments,list_fleet_deployments,select,$.FleetDeployments,,,,
ListFleets,/#X-Amz-Target=GameLift.ListFleets,POST,,,,,**This API works with the following fleet types...,fleets,list_fleets,select,$.FleetIds,,,,
ListGameServerGroups,/#X-Amz-Target=GameLift.ListGameServerGroups,POST,,,,,**This API works with the following fleet types...,game_server_groups,list_game_server_groups,select,$.GameServerGroups,,,,
ListGameServers,/#X-Amz-Target=GameLift.ListGameServers,POST,,,,GameServerGroupName,**This API works with the following fleet types...,game_servers,list_game_servers,select,$.GameServers,,,,
ListLocations,/#X-Amz-Target=GameLift.ListLocations,POST,,,,,**This API works with the following fleet types...,locations,list_locations,select,$.Locations,,,,
ListScripts,/#X-Amz-Target=GameLift.ListScripts,POST,,,,,**This API works with the following fleet types...,scripts,list_scripts,select,$.Scripts,,,,
ListTagsForResource,/#X-Amz-Target=GameLift.ListTagsForResource,POST,,,,ResourceARN,**This API works with the following fleet types...,tags,list_tags_for_resource,select,,,,,
PutScalingPolicy,/#X-Amz-Target=GameLift.PutScalingPolicy,POST,,,,"FleetId,MetricName,Name",**This API works with the following fleet types...,scaling_policies,put_scaling_policy,replace,,,,,
RegisterCompute,/#X-Amz-Target=GameLift.RegisterCompute,POST,,,,"ComputeName,FleetId",**This API works with the following fleet types...,compute,register_compute,exec,,,,,
RegisterGameServer,/#X-Amz-Target=GameLift.RegisterGameServer,POST,,,,"GameServerGroupName,GameServerId,InstanceId",**This API works with the following fleet types...,game_servers,register_game_server,exec,,,,,
RequestUploadCredentials,/#X-Amz-Target=GameLift.RequestUploadCredentials,POST,,,,BuildId,**This API works with the following fleet types...,builds,request_upload_credentials,exec,,,,,
ResolveAlias,/#X-Amz-Target=GameLift.ResolveAlias,POST,,,,AliasId,**This API works with the following fleet types...,aliases,resolve_alias,exec,,,,,
ResumeGameServerGroup,/#X-Amz-Target=GameLift.ResumeGameServerGroup,POST,,,,"GameServerGroupName,ResumeActions",**This API works with the following fleet types...,game_server_groups,resume_game_server_group,exec,,,,,
SearchGameSessions,/#X-Amz-Target=GameLift.SearchGameSessions,POST,,,,,**This API works with the following fleet types...,game_sessions,search_game_sessions,exec,$.GameSessions,,,,
StartFleetActions,/#X-Amz-Target=GameLift.StartFleetActions,POST,,,,"Actions,FleetId",**This API works with the following fleet types...,fleets,start_fleet_actions,exec,,,,,
StartGameSessionPlacement,/#X-Amz-Target=GameLift.StartGameSessionPlacement,POST,,,,"GameSessionQueueName,MaximumPlayerSessionCount,PlacementId",**This API works with the following fleet types...,game_session_placements,start_game_session_placement,exec,,,,,
StartMatchBackfill,/#X-Amz-Target=GameLift.StartMatchBackfill,POST,,,,"ConfigurationName,Players",**This API works with the following fleet types...,matchmaking,start_match_backfill,exec,,,,,
StartMatchmaking,/#X-Amz-Target=GameLift.StartMatchmaking,POST,,,,"ConfigurationName,Players",**This API works with the following fleet types...,matchmaking,start_matchmaking,exec,,,,,
StopFleetActions,/#X-Amz-Target=GameLift.StopFleetActions,POST,,,,"Actions,FleetId",**This API works with the following fleet types...,fleets,stop_fleet_actions,exec,,,,,
StopGameSessionPlacement,/#X-Amz-Target=GameLift.StopGameSessionPlacement,POST,,,,PlacementId,**This API works with the following fleet types...,game_session_placements,stop_game_session_placement,exec,,,,,
StopMatchmaking,/#X-Amz-Target=GameLift.StopMatchmaking,POST,,,,TicketId,**This API works with the following fleet types...,matchmaking,stop_matchmaking,exec,,,,,
SuspendGameServerGroup,/#X-Amz-Target=GameLift.SuspendGameServerGroup,POST,,,,"GameServerGroupName,SuspendActions",**This API works with the following fleet types...,game_server_groups,suspend_game_server_group,exec,,,,,
TagResource,/#X-Amz-Target=GameLift.TagResource,POST,,,,"ResourceARN,Tags",**This API works with the following fleet types...,tags,tag_resource,exec,,,,,
TerminateGameSession,/#X-Amz-Target=GameLift.TerminateGameSession,POST,,,,"GameSessionId,TerminationMode",**This API works with the following fleet types...,game_sessions,terminate_game_session,exec,,,,,
UntagResource,/#X-Amz-Target=GameLift.UntagResource,POST,,,,"ResourceARN,TagKeys",**This API works with the following fleet types...,tags,untag_resource,exec,,,,,
UpdateAlias,/#X-Amz-Target=GameLift.UpdateAlias,POST,,,,AliasId,**This API works with the following fleet types...,aliases,update_alias,update,,,,,
UpdateBuild,/#X-Amz-Target=GameLift.UpdateBuild,POST,,,,BuildId,**This API works with the following fleet types...,builds,update_build,update,,,,,
UpdateContainerFleet,/#X-Amz-Target=GameLift.UpdateContainerFleet,POST,,,,FleetId,**This API works with the following fleet types...,container_fleets,update_container_fleet,update,,,,,
