operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteVcenterClient,/DeleteVcenterClient,POST,,,,vcenterClientID,Deletes a given vCenter client by ID.,vcenter_clients,delete_vcenter_client,delete,,,,,
DescribeVcenterClients,/DescribeVcenterClients,GET,,,,,Returns a list of the installed vCenter clients.,vcenter_clients,describe_vcenter_clients,select,$.items,nextToken,query,nextToken,body
ArchiveWave,/ArchiveWave,POST,,,,waveID,Archive wave.,waves,archive_wave,exec,,,,,
AssociateApplications,/AssociateApplications,POST,,,,"applicationIDs,waveID",Associate applications to wave.,waves,associate_applications,exec,,,,,
CreateWave,/CreateWave,POST,,,,name,Create wave.,waves,create_wave,insert,,,,,
DeleteWave,/DeleteWave,POST,,,,waveID,Delete wave.,waves,delete_wave,delete,,,,,
DisassociateApplications,/DisassociateApplications,POST,,,,"applicationIDs,waveID",Disassociate applications from wave.,waves,disassociate_applications,exec,,,,,
ListWaves,/ListWaves,POST,,,,,Retrieves all waves or multiple waves by ID.,waves,list_waves,select,$.items,,,,
UnarchiveWave,/UnarchiveWave,POST,,,,waveID,Unarchive wave.,waves,unarchive_wave,exec,,,,,
UpdateWave,/UpdateWave,POST,,,,waveID,Update wave.,waves,update_wave,update,,,,,
